DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8025961,Propionic acid,79-09-4,XBDQKXXYIPTUBI-UHFFFAOYSA-N,Propanoic acid,CCC(O)=O,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)",C3H6O2,74.079,74.036779,207,1658,400,100,2,6/287,2.0,287
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5023792,4-Nitrotoluene,99-99-0,ZPTVNYMJQHSSEA-UHFFFAOYSA-N,1-Methyl-4-nitrobenzene,CC1=CC=C(C=C1)[N+]([O-])=O,"InChI=1S/C7H7NO2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3",C7H7NO2,137.138,137.047678,175,63,157,3,2,19/853,2.0,853
https://comptox.epa.gov/dashboard/chemical/details/DTXSID30893043,Antimony pentachloride,7647-18-9,VMPVEPPRYRXYNP-UHFFFAOYSA-I,Pentachloro-lambda~5~-stibane,Cl[Sb](Cl)(Cl)(Cl)Cl,InChI=1S/5ClH.Sb/h5*1H;/q;;;;;+5/p-5,Cl5Sb,299.01,295.748070,42,,44,2,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4024309,Sodium cyanide,143-33-9,MNWBNISUBARLIT-UHFFFAOYSA-N,Sodium cyanide,[Na+].[C-]#N,InChI=1S/CN.Na/c1-2;/q-1;+1,CNNa,49.008,48.992843,118,881,96,70,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1020770,Kepone,143-50-0,LHHGDZSESBACKH-UHFFFAOYSA-N,"1,1a,3,3a,4,5,5,5a,5b,6-Decachlorooctahydro-2H-1,3,4-(methanetriyl)cyclobuta[cd]pentalen-2-one",ClC12C(=O)C3(Cl)C4(Cl)C1(Cl)C1(Cl)C2(Cl)C3(Cl)C4(Cl)C1(Cl)Cl,"InChI=1S/C10Cl10O/c11-2-1(21)3(12)6(15)4(2,13)8(17)5(2,14)7(3,16)9(6,18)10(8,19)20",C10Cl10O,490.61,485.683442,165,476,68,2,2,452/1085,42.0,1085
https://comptox.epa.gov/dashboard/chemical/details/DTXSID9024065,"1,3-Dinitrobenzene",99-65-0,WDCYWAQPCXBPJA-UHFFFAOYSA-N,"1,3-Dinitrobenzene",[O-][N+](=O)C1=CC(=CC=C1)[N+]([O-])=O,InChI=1S/C6H4N2O4/c9-7(10)5-2-1-3-6(4-5)8(11)12/h1-4H,C6H4N2O4,168.108,168.017107,173,137,149,4,2,27/876,3.0,876
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4024149,Hydrogen sulfide,7783-06-4,RWSOTUBLDIXVET-UHFFFAOYSA-N,,S,InChI=1S/H2S/h1H2,H2S,34.08,33.987721,133,5150,285,255,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5029683,Sulfuric acid,7664-93-9,QAOWNCQODCNURD-UHFFFAOYSA-N,Sulfuric acid,OS(O)(=O)=O,"InChI=1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)",H2O4S,98.07,97.967380,193,2026,19995,3170,1,0/235,0.0,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1020431,"1,4-Dichlorobenzene",106-46-7,OCJBOOLMMGQPQU-UHFFFAOYSA-N,"1,4-Dichlorobenzene",ClC1=CC=C(Cl)C=C1,InChI=1S/C6H4Cl2/c7-5-1-2-6(8)4-3-5/h1-4H,C6H4Cl2,147.0,145.969006,266,202,170,207,2,11/855,1.0,855
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2024086,Ethion,563-12-2,RIZMRRKBZQXFOY-UHFFFAOYSA-N,"O,O,O',O'-Tetraethyl S,S'-methylene bis(phosphorodithioate)",CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,"InChI=1S/C9H22O4P2S4/c1-5-10-14(16,11-6-2)18-9-19-15(17,12-7-3)13-8-4/h5-9H2,1-4H3",C9H22O4P2S4,384.46,383.987618,187,43,99,6,1,126/858,15.0,858
